train_loss,epoch,step,val_loss,val_acc,train_acc
6.398845672607422,0,49,,,
5.427540302276611,0,99,,,
5.515622138977051,0,149,,,
5.241949081420898,0,199,,,
5.201202392578125,0,249,,,
5.218743324279785,0,299,,,
4.931063652038574,0,349,,,
5.11142635345459,0,399,,,
4.931406021118164,0,449,,,
5.098565101623535,0,499,,,
4.817702770233154,0,549,,,
5.001429557800293,0,599,,,
4.908227443695068,0,649,,,
4.9916205406188965,0,699,,,
4.647839546203613,0,749,,,
5.037822246551514,0,799,,,
4.6595892906188965,0,849,,,
4.670560359954834,0,899,,,
4.760498523712158,0,949,,,
4.583574295043945,0,999,,,
4.798774242401123,0,1049,,,
4.7674713134765625,0,1099,,,
4.6196064949035645,0,1149,,,
4.511393070220947,0,1199,,,
4.413254261016846,0,1249,,,
4.685210227966309,0,1299,,,
4.489352226257324,0,1349,,,
4.600605487823486,0,1399,,,
,0,1405,4.6515631675720215,0.05889999866485596,
,0,1405,,,0.036562055349349976
4.42691707611084,1,1449,,,
4.502953052520752,1,1499,,,
4.783246994018555,1,1549,,,
4.111997604370117,1,1599,,,
4.391036510467529,1,1649,,,
4.556514263153076,1,1699,,,
4.311890125274658,1,1749,,,
4.271468162536621,1,1799,,,
4.550809383392334,1,1849,,,
4.114779472351074,1,1899,,,
3.9517738819122314,1,1949,,,
4.387093544006348,1,1999,,,
4.445045471191406,1,2049,,,
4.206632137298584,1,2099,,,
3.7808594703674316,1,2149,,,
4.0862579345703125,1,2199,,,
4.3304619789123535,1,2249,,,
3.8598499298095703,1,2299,,,
3.9579358100891113,1,2349,,,
3.7256345748901367,1,2399,,,
4.088112831115723,1,2449,,,
3.848797559738159,1,2499,,,
4.216897487640381,1,2549,,,
3.9017772674560547,1,2599,,,
4.096682071685791,1,2649,,,
3.6189675331115723,1,2699,,,
3.9325268268585205,1,2749,,,
3.8756022453308105,1,2799,,,
,1,2811,4.102368354797363,0.11680000275373459,
,1,2811,,,0.10120688378810883
3.625084638595581,2,2849,,,
3.947955846786499,2,2899,,,
4.2521209716796875,2,2949,,,
3.786421298980713,2,2999,,,
3.59895658493042,2,3049,,,
3.8892197608947754,2,3099,,,
3.917389392852783,2,3149,,,
3.699815273284912,2,3199,,,
3.778517723083496,2,3249,,,
3.7943315505981445,2,3299,,,
3.5554070472717285,2,3349,,,
